Image,Method,MSE,SSIM
Aaron_Eckhart_0001,sobel,86.36907958984375,0.18334233432927258
Aaron_Eckhart_0001,prewitt,86.56658935546875,0.18071835613067336
Aaron_Eckhart_0001,canny,91.96502685546875,0.04006403608153078
Aaron_Eckhart_0001,lowpass,91.98699951171875,0.6080381730824377
Aaron_Eckhart_0001,highpass,99.4278564453125,0.11607791113181617
Aaron_Eckhart_0001,bandstop,99.82208251953125,0.5859316225932194
Aaron_Guiel_0001,sobel,107.2000732421875,0.10866915743658219
Aaron_Guiel_0001,prewitt,106.1474609375,0.1088800112766601
Aaron_Guiel_0001,canny,109.9234619140625,0.0072057108313070255
Aaron_Guiel_0001,lowpass,108.44775390625,0.6041176927506632
Aaron_Guiel_0001,highpass,106.2135009765625,0.08962014219087733
Aaron_Guiel_0001,bandstop,113.006103515625,0.5505527156882277
Aaron_Patterson_0001,sobel,111.8582763671875,0.08473525406732091
Aaron_Patterson_0001,prewitt,112.0274658203125,0.08500965985769598
Aaron_Patterson_0001,canny,108.3135986328125,0.00287212518224438
Aaron_Patterson_0001,lowpass,114.87945556640625,0.6939698209746902
Aaron_Patterson_0001,highpass,112.69964599609375,0.08074606629830491
Aaron_Patterson_0001,bandstop,107.551513671875,0.7006412048939005
Aaron_Peirsol_0001,sobel,105.82061767578125,0.03500039730678449
Aaron_Peirsol_0001,prewitt,105.3760986328125,0.035474351515013186
Aaron_Peirsol_0001,canny,107.36151123046875,-0.0007154365972002828
Aaron_Peirsol_0001,lowpass,92.17828369140625,0.580222175611231
Aaron_Peirsol_0001,highpass,107.7117919921875,0.0377941901054518
Aaron_Peirsol_0001,bandstop,107.879150390625,0.5372038048643406
Aaron_Peirsol_0002,sobel,108.9212646484375,0.060360251851460975
Aaron_Peirsol_0002,prewitt,109.47210693359375,0.0612899724530626
Aaron_Peirsol_0002,canny,109.81201171875,0.004160400835115342
Aaron_Peirsol_0002,lowpass,76.979736328125,0.5553248112282598
Aaron_Peirsol_0002,highpass,108.1715087890625,0.04342166052739196
Aaron_Peirsol_0002,bandstop,104.3095703125,0.5895078108430335
Aaron_Peirsol_0003,sobel,95.6317138671875,0.06082538781261997
Aaron_Peirsol_0003,prewitt,95.564453125,0.06129965381663088
Aaron_Peirsol_0003,canny,97.43402099609375,0.0010639896209382138
Aaron_Peirsol_0003,lowpass,81.9976806640625,0.5710788927544634
Aaron_Peirsol_0003,highpass,105.659423828125,0.047439147743403916
Aaron_Peirsol_0003,bandstop,95.154541015625,0.5668315915867792
Aaron_Peirsol_0004,sobel,100.457275390625,0.09463163044702175
Aaron_Peirsol_0004,prewitt,100.402099609375,0.09558943695247772
Aaron_Peirsol_0004,canny,104.83026123046875,0.01120284739497149
Aaron_Peirsol_0004,lowpass,100.29931640625,0.5493899663886523
Aaron_Peirsol_0004,highpass,104.566650390625,0.060730885556411436
Aaron_Peirsol_0004,bandstop,101.94049072265625,0.5524433971333926
Aaron_Pena_0001,sobel,97.650146484375,0.192802518097825
Aaron_Pena_0001,prewitt,97.16680908203125,0.1890166484455644
Aaron_Pena_0001,canny,106.12213134765625,0.04066186944136445
Aaron_Pena_0001,lowpass,102.3671875,0.520175289871203
Aaron_Pena_0001,highpass,102.15020751953125,0.1975746971717017
Aaron_Pena_0001,bandstop,104.952880859375,0.5070520504836227
Aaron_Sorkin_0001,sobel,104.05352783203125,0.08614325042648537
Aaron_Sorkin_0001,prewitt,104.27337646484375,0.0878036689273332
Aaron_Sorkin_0001,canny,105.931884765625,0.006488465332347081
Aaron_Sorkin_0001,lowpass,81.52093505859375,0.5196195333538068
Aaron_Sorkin_0001,highpass,105.864990234375,0.05833138755960491
Aaron_Sorkin_0001,bandstop,104.68609619140625,0.5431890305723843
Aaron_Sorkin_0002,sobel,107.13446044921875,0.08254296786783893
Aaron_Sorkin_0002,prewitt,108.29803466796875,0.08323021442916399
Aaron_Sorkin_0002,canny,106.49853515625,0.008540825235182077
Aaron_Sorkin_0002,lowpass,85.9661865234375,0.6733344182701807
Aaron_Sorkin_0002,highpass,110.93768310546875,0.11473708410568995
Aaron_Sorkin_0002,bandstop,80.1329345703125,0.6903209421434833
Aaron_Tippin_0001,sobel,107.32232666015625,0.10059851159409887
Aaron_Tippin_0001,prewitt,107.70672607421875,0.10130338807087037
Aaron_Tippin_0001,canny,108.98101806640625,0.017097806872717204
Aaron_Tippin_0001,lowpass,90.248779296875,0.5286248246188953
Aaron_Tippin_0001,highpass,106.4520263671875,0.08642350434742511
Aaron_Tippin_0001,bandstop,102.1080322265625,0.45561310583542564
Abbas_Kiarostami_0001,sobel,104.35211181640625,0.041556253936011534
Abbas_Kiarostami_0001,prewitt,104.80169677734375,0.042458842626128195
Abbas_Kiarostami_0001,canny,102.15875244140625,-0.0034393120162170836
Abbas_Kiarostami_0001,lowpass,115.37579345703125,0.5868979360023293
Abbas_Kiarostami_0001,highpass,103.65972900390625,0.03203507581039602
Abbas_Kiarostami_0001,bandstop,91.1988525390625,0.6320649412223468
Abba_Eban_0001,sobel,93.92547607421875,0.16612240929091066
Abba_Eban_0001,prewitt,93.91546630859375,0.16718493779062352
Abba_Eban_0001,canny,98.484130859375,0.05048761393101139
Abba_Eban_0001,lowpass,79.191162109375,0.6087415830748818
Abba_Eban_0001,highpass,99.51556396484375,0.11979714869830971
Abba_Eban_0001,bandstop,90.54534912109375,0.6316637742100922
Abdel_Aziz_Al-Hakim_0001,sobel,108.708984375,0.15475438681581816
Abdel_Aziz_Al-Hakim_0001,prewitt,107.8193359375,0.15473408387914006
Abdel_Aziz_Al-Hakim_0001,canny,108.11932373046875,0.015109086678987634
Abdel_Aziz_Al-Hakim_0001,lowpass,87.3748779296875,0.6366626973370709
Abdel_Aziz_Al-Hakim_0001,highpass,106.70440673828125,0.12649437950794148
Abdel_Aziz_Al-Hakim_0001,bandstop,105.556396484375,0.6030416143462718
Abdel_Madi_Shabneh_0001,sobel,108.38848876953125,0.07925511038915964
Abdel_Madi_Shabneh_0001,prewitt,107.0267333984375,0.0797614943476832
Abdel_Madi_Shabneh_0001,canny,109.2406005859375,0.004479133741944679
Abdel_Madi_Shabneh_0001,lowpass,84.04571533203125,0.5637968332722247
Abdel_Madi_Shabneh_0001,highpass,105.086669921875,0.06662209169668432
Abdel_Madi_Shabneh_0001,bandstop,102.4520263671875,0.5977978279334201
Abdel_Nasser_Assidi_0001,sobel,99.15618896484375,0.16723182012896995
Abdel_Nasser_Assidi_0001,prewitt,99.05364990234375,0.16904009310162743
Abdel_Nasser_Assidi_0001,canny,112.2891845703125,0.01662093977998014
Abdel_Nasser_Assidi_0001,lowpass,102.3153076171875,0.5671704082744277
Abdel_Nasser_Assidi_0001,highpass,92.27288818359375,0.19486002546527526
Abdel_Nasser_Assidi_0001,bandstop,103.26971435546875,0.5264220860002059
Abdel_Nasser_Assidi_0002,sobel,96.84283447265625,0.1417994824368982
Abdel_Nasser_Assidi_0002,prewitt,96.64715576171875,0.1408864829416163
Abdel_Nasser_Assidi_0002,canny,102.18255615234375,0.04408955417828188
Abdel_Nasser_Assidi_0002,lowpass,88.93231201171875,0.4294162601662476
Abdel_Nasser_Assidi_0002,highpass,105.80828857421875,0.08147224675630757
Abdel_Nasser_Assidi_0002,bandstop,104.59600830078125,0.5344144619480925
Abdoulaye_Wade_0001,sobel,111.3697509765625,0.10603679623135571
Abdoulaye_Wade_0001,prewitt,111.40057373046875,0.10639719451291658
Abdoulaye_Wade_0001,canny,112.21337890625,0.013114218749878748
Abdoulaye_Wade_0001,lowpass,85.5416259765625,0.499331078889431
Abdoulaye_Wade_0001,highpass,108.09161376953125,0.08788444462314263
Abdoulaye_Wade_0001,bandstop,103.67315673828125,0.44860399166361
Abdoulaye_Wade_0002,sobel,108.6517333984375,0.14911126347311282
Abdoulaye_Wade_0002,prewitt,108.6754150390625,0.14945977260420487
Abdoulaye_Wade_0002,canny,112.7242431640625,0.014612217042910939
Abdoulaye_Wade_0002,lowpass,87.8677978515625,0.5754746420882364
Abdoulaye_Wade_0002,highpass,104.8497314453125,0.1578877978903895
Abdoulaye_Wade_0002,bandstop,104.99786376953125,0.47649800276355964
Abdoulaye_Wade_0003,sobel,112.74072265625,0.16950540120279503
Abdoulaye_Wade_0003,prewitt,112.919677734375,0.1698523041833196
Abdoulaye_Wade_0003,canny,116.64599609375,0.008932766729034446
Abdoulaye_Wade_0003,lowpass,80.33990478515625,0.7255179596417806
Abdoulaye_Wade_0003,highpass,110.98785400390625,0.20044953461372966
Abdoulaye_Wade_0003,bandstop,110.75604248046875,0.5615379440328384
Abdoulaye_Wade_0004,sobel,96.7144775390625,0.19664157350206563
Abdoulaye_Wade_0004,prewitt,96.98724365234375,0.19722669715338992
Abdoulaye_Wade_0004,canny,103.49798583984375,0.05878475133315485
Abdoulaye_Wade_0004,lowpass,82.748779296875,0.5496809846645868
Abdoulaye_Wade_0004,highpass,105.97943115234375,0.1245855644395581
Abdoulaye_Wade_0004,bandstop,101.27886962890625,0.4490497061746973
Abdulaziz_Kamilov_0001,sobel,89.3369140625,0.13390330694185004
Abdulaziz_Kamilov_0001,prewitt,89.70794677734375,0.1337993435661636
Abdulaziz_Kamilov_0001,canny,92.25323486328125,0.05409295210784848
Abdulaziz_Kamilov_0001,lowpass,88.21075439453125,0.5850479884836868
Abdulaziz_Kamilov_0001,highpass,98.27789306640625,0.10723686075332002
Abdulaziz_Kamilov_0001,bandstop,102.27349853515625,0.5141585949566644
Abdullah_0001,sobel,108.41741943359375,0.06238716415724889
Abdullah_0001,prewitt,108.1903076171875,0.06358098997507877
Abdullah_0001,canny,110.804931640625,0.0072475720674222985
Abdullah_0001,lowpass,82.2332763671875,0.6233537948731181
Abdullah_0001,highpass,108.37835693359375,0.0725172398276764
Abdullah_0001,bandstop,98.3465576171875,0.5184567935945491
Abdullah_0002,sobel,109.2193603515625,0.07466016663344802
Abdullah_0002,prewitt,110.09869384765625,0.0758477803695032
Abdullah_0002,canny,110.28125,0.0014692982119544693
Abdullah_0002,lowpass,103.3056640625,0.5456892745558128
Abdullah_0002,highpass,108.89739990234375,0.0662058398624722
Abdullah_0002,bandstop,96.125732421875,0.6006149202886897
Abdullah_0003,sobel,81.6656494140625,0.2813300168611812
Abdullah_0003,prewitt,82.0162353515625,0.28134291738020545
Abdullah_0003,canny,90.1409912109375,0.10088287852135577
Abdullah_0003,lowpass,65.44512939453125,0.6715824108636133
Abdullah_0003,highpass,88.90576171875,0.24285037076320096
Abdullah_0003,bandstop,90.06109619140625,0.556152173864509
Abdullah_0004,sobel,96.6722412109375,0.08705847818596217
Abdullah_0004,prewitt,95.64190673828125,0.08535628011851551
Abdullah_0004,canny,101.54058837890625,0.009412987824280322
Abdullah_0004,lowpass,104.1488037109375,0.604857353152584
Abdullah_0004,highpass,98.34942626953125,0.0832793118604444
Abdullah_0004,bandstop,108.73590087890625,0.5143837958392891
Abdullah_Ahmad_Badawi_0001,sobel,107.3460693359375,0.07779172143641816
Abdullah_Ahmad_Badawi_0001,prewitt,108.01605224609375,0.07774489295047327
Abdullah_Ahmad_Badawi_0001,canny,110.37591552734375,0.0074474062230433565
Abdullah_Ahmad_Badawi_0001,lowpass,96.1392822265625,0.5425764067622629
Abdullah_Ahmad_Badawi_0001,highpass,106.4925537109375,0.06317054818850718
Abdullah_Ahmad_Badawi_0001,bandstop,101.74871826171875,0.5593613002969273
Abdullah_al-Attiyah_0001,sobel,103.99334716796875,0.06711914457211024
Abdullah_al-Attiyah_0001,prewitt,103.36376953125,0.06718480001014453
Abdullah_al-Attiyah_0001,canny,94.7913818359375,0.007624113009149289
Abdullah_al-Attiyah_0001,lowpass,99.6478271484375,0.5566378775100905
Abdullah_al-Attiyah_0001,highpass,109.75946044921875,0.05843153436046323
Abdullah_al-Attiyah_0001,bandstop,102.753662109375,0.5251689878247108
Abdullah_al-Attiyah_0002,sobel,102.65948486328125,0.09182039074970617
Abdullah_al-Attiyah_0002,prewitt,103.63592529296875,0.09115635348701938
Abdullah_al-Attiyah_0002,canny,105.97930908203125,0.011244443495498092
Abdullah_al-Attiyah_0002,lowpass,96.7880859375,0.5172311209389391
Abdullah_al-Attiyah_0002,highpass,105.442626953125,0.08437678288554137
Abdullah_al-Attiyah_0002,bandstop,106.75860595703125,0.5397262401593234
Abdullah_al-Attiyah_0003,sobel,102.4732666015625,0.11150854076904432
Abdullah_al-Attiyah_0003,prewitt,102.37432861328125,0.11018521519013648
Abdullah_al-Attiyah_0003,canny,111.63739013671875,0.00836857707910603
Abdullah_al-Attiyah_0003,lowpass,103.88043212890625,0.6640724874893135
Abdullah_al-Attiyah_0003,highpass,97.071533203125,0.08471785284425323
Abdullah_al-Attiyah_0003,bandstop,110.73028564453125,0.5407668058561323
Abdullah_Gul_0001,sobel,117.42218017578125,0.041445081279340136
Abdullah_Gul_0001,prewitt,118.23895263671875,0.041746655774662404
Abdullah_Gul_0001,canny,115.90887451171875,0.003733885670027115
Abdullah_Gul_0001,lowpass,102.28253173828125,0.5345036274019079
Abdullah_Gul_0001,highpass,105.4033203125,0.038148047961886235
Abdullah_Gul_0001,bandstop,108.15618896484375,0.5180078743202995
Abdullah_Gul_0002,sobel,80.98626708984375,0.17338591092263173
Abdullah_Gul_0002,prewitt,81.51416015625,0.1742192566375253
Abdullah_Gul_0002,canny,87.015380859375,0.047570117468314285
Abdullah_Gul_0002,lowpass,89.369873046875,0.5290108349188586
Abdullah_Gul_0002,highpass,86.924560546875,0.22349896017187718
Abdullah_Gul_0002,bandstop,104.6873779296875,0.5014058525413589
Abdullah_Gul_0003,sobel,99.42083740234375,0.13928069047471786
Abdullah_Gul_0003,prewitt,99.02691650390625,0.13852441446564814
Abdullah_Gul_0003,canny,106.99505615234375,0.014700912153180623
Abdullah_Gul_0003,lowpass,90.150634765625,0.4645309105738912
Abdullah_Gul_0003,highpass,102.462158203125,0.08751119268799881
Abdullah_Gul_0003,bandstop,101.4462890625,0.49626336174221103
Abdullah_Gul_0004,sobel,107.278564453125,0.06812381548330422
Abdullah_Gul_0004,prewitt,107.8551025390625,0.06823941380198015
Abdullah_Gul_0004,canny,108.89739990234375,0.0029347275830674123
Abdullah_Gul_0004,lowpass,104.5614013671875,0.4548498741240453
Abdullah_Gul_0004,highpass,103.68359375,0.045167261396715966
Abdullah_Gul_0004,bandstop,104.832275390625,0.5152707184072507
Abdullah_Gul_0005,sobel,106.260498046875,0.0891544963266796
Abdullah_Gul_0005,prewitt,106.3514404296875,0.0896868958959158
Abdullah_Gul_0005,canny,100.615234375,0.005943716359565567
Abdullah_Gul_0005,lowpass,78.8853759765625,0.6601726303475065
Abdullah_Gul_0005,highpass,106.524169921875,0.07004066994930144
Abdullah_Gul_0005,bandstop,101.89349365234375,0.5258476376486179
Abdullah_Gul_0006,sobel,109.574951171875,0.1516510686503361
Abdullah_Gul_0006,prewitt,110.2674560546875,0.15146777197545258
Abdullah_Gul_0006,canny,109.60321044921875,0.00490681333486427
Abdullah_Gul_0006,lowpass,99.87939453125,0.805844120384445
Abdullah_Gul_0006,highpass,110.48724365234375,0.11223578789062098
Abdullah_Gul_0006,bandstop,105.63092041015625,0.573803484958618
Abdullah_Gul_0007,sobel,109.99383544921875,0.09222442458023075
Abdullah_Gul_0007,prewitt,110.7916259765625,0.0925798380016432
Abdullah_Gul_0007,canny,108.838623046875,0.011237227779165455
Abdullah_Gul_0007,lowpass,74.90411376953125,0.5704994665583414
Abdullah_Gul_0007,highpass,108.8922119140625,0.11075920393366256
Abdullah_Gul_0007,bandstop,95.38006591796875,0.617808297218867
Abdullah_Gul_0008,sobel,101.45196533203125,0.05275043012675511
Abdullah_Gul_0008,prewitt,101.201904296875,0.05331175234740934
Abdullah_Gul_0008,canny,102.477294921875,0.0029141990009346123
Abdullah_Gul_0008,lowpass,97.77313232421875,0.5267798265287489
